| FileItem               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getOutputStream      | getOutputStream()                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:175:18:175:32             | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:175:18:175:32             |
| FileItem               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | isInMemory           | isInMemory()                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:81:13:81:22               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:81:13:81:22               |
| FileItem               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getName              | getName()                                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:73:12:73:18               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:73:12:73:18               |
| FileItem               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getContentType       | getContentType()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:61:12:61:25               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:61:12:61:25               |
| FileItem               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getInputStream       | getInputStream()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:54:17:54:30               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:54:17:54:30               |
| FileItemHeadersSupport | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:27:18:27:39 | setHeaders           | setHeaders(FileItemHeaders)                 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:43:10:43:19 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:43:10:43:19 |
| FileItemHeadersSupport | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:27:18:27:39 | getHeaders           | getHeaders()                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:34:21:34:30 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeadersSupport.java:34:21:34:30 |
| FileItemFactory        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemFactory.java:23:18:23:32        | createItem           | createItem(String, String, boolean, String) | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemFactory.java:37:14:37:23        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemFactory.java:37:14:37:23        |
| FileItemHeaders        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:27:18:27:32        | getHeaderNames       | getHeaderNames()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:61:22:61:35        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:61:22:61:35        |
| FileItemHeaders        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:27:18:27:32        | getHeaders           | getHeaders(String)                          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:53:22:53:31        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:53:22:53:31        |
| FileItemHeaders        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:27:18:27:32        | getHeader            | getHeader(String)                           | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:40:12:40:20        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemHeaders.java:40:12:40:20        |
| FileItemIterator       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:22:18:22:33       | next                 | next()                                      | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:42:20:42:23       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:42:20:42:23       |
| FileItemIterator       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:22:18:22:33       | hasNext              | hasNext()                                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:31:13:31:19       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemIterator.java:31:13:31:19       |
| FileItemStream         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:34:18:34:31         | isFormField          | isFormField()                               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:91:13:91:23         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:91:13:91:23         |
| FileItemStream         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:34:18:34:31         | getFieldName         | getFieldName()                              | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:83:12:83:23         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:83:12:83:23         |
| FileItemStream         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:34:18:34:31         | getName              | getName()                                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:76:12:76:18         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:76:12:76:18         |
| FileItemStream         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:34:18:34:31         | getContentType       | getContentType()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:67:12:67:25         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:67:12:67:25         |
| FileItemStream         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:34:18:34:31         | openStream           | openStream()                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:60:17:60:26         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:60:17:60:26         |
| ProgressListener       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/ProgressListener.java:20:18:20:33       | update               | update(long, long, int)                     | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/ProgressListener.java:31:10:31:15       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/ProgressListener.java:31:10:31:15       |
| RequestContext         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:29:18:29:31         | getInputStream       | getInputStream()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:60:17:60:30         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:60:17:60:30         |
| RequestContext         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:29:18:29:31         | getContentLength     | getContentLength()                          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:52:9:52:24          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:52:9:52:24          |
| RequestContext         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:29:18:29:31         | getContentType       | getContentType()                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:43:12:43:25         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:43:12:43:25         |
| RequestContext         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:29:18:29:31         | getCharacterEncoding | getCharacterEncoding()                      | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:36:12:36:31         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:36:12:36:31         |
| Closeable              | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:22:18:22:26         | isClosed             | isClosed()                                  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:37:13:37:20         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:37:13:37:20         |
| Closeable              | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:22:18:22:26         | close                | close()                                     | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/util/Closeable.java:29:10:29:14         |
| UploadContext          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/UploadContext.java:28:18:28:30          | contentLength        | contentLength()                             | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/UploadContext.java:36:10:36:22          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/UploadContext.java:36:10:36:22          |
| Constants                       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:24:20:24:28                                | Constants                                                  | Constants()                                                  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:29:13:29:21                                  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:29:25:29:26                                 |
| Constants                       | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:24:20:24:28                                | <clinit>                                                   | <clinit>()                                                   | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:24:20:24:28                                  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/test/java/org/apache/commons/fileupload/Constants.java:24:20:24:28                                 |
| DefaultFileItem                 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:38:14:38:28                          | DefaultFileItem                                            | DefaultFileItem(String, String, boolean, String, int, File)  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:57:12:57:26                            | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:63:30:65:5                            |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | setDefaultCharset                                          | setDefaultCharset(String)                                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:390:17:390:33                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:390:51:392:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getDefaultCharset                                          | getDefaultCharset()                                          | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:380:19:380:35                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:380:39:382:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | setHeaders                                                 | setHeaders(FileItemHeaders)                                  | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:370:17:370:26                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:370:54:372:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getHeaders                                                 | getHeaders()                                                 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:361:28:361:37                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:361:41:363:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getTempFile                                                | getTempFile()                                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:319:20:319:30                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:319:34:331:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | setFormField                                               | setFormField(boolean)                                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:283:17:283:28                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:283:45:285:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | isFormField                                                | isFormField()                                                | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:272:20:272:30                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:272:34:274:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | setFieldName                                               | setFieldName(String)                                         | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:261:17:261:28                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:261:48:263:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getFieldName                                               | getFieldName()                                               | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:251:19:251:30                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:251:34:253:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getName                                                    | getName()                                                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:178:19:178:25                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:178:29:180:5                        |
| DiskFileItem                    | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:53:14:53:25                        | getCharSet                                                 | getCharSet()                                                 | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:162:19:162:28                        | file:///home/AlphaTrans/java_projects/cleaned_final_projects_decomposed_tests/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:162:32:167:5                        |
